"Customer_id","monetary_value","frequency","recency","RFMClass"
"323","1605","101.0","4","5"
"332","1606","61.0","3","5"
"211","1607","18.0","6","5"
"233","1608","33.0","2","5"
"344","1609","64.0","1","5"
"134","1610","2.0","2","5"
"222","1611","24.0","4","5"
"344","1612","108.0","1","5"
"211","1613","32.0","9","5"
"111","1614","9.0","13","5"
"111","1615","3.0","86","5"
"243","1616","37.0","1","5"
"333","1617","60.0","3","5"
"211","1618","26.0","6","5"
"422","1619","236.0","4","5"
"211","1620","25.0","9","5"
"111","1621","3.0","25","5"
"321","1622","59.0","4","5"
"444","1623","260.0","1","5"
"343","1624","58.0","1","5"
"333","1625","65.0","2","5"
"133","1626","16.0","2","5"
"132","1627","10.0","3","5"
"312","1628","59.0","8","5"
"444","1629","186.0","1","5"
"111","1630","4.0","21","5"
"231","1631","24.0","2","5"
"111","1632","4.0","9","5"
"111","1633","4.0","9","5"
"432","1634","151.0","2","5"
"444","1635","311.0","1","5"
"132","1636","11.0","2","5"
"234","1637","18.0","2","5"
"444","1638","152.0","1","5"
"222","1639","19.0","5","5"
"121","1640","10.0","4","5"
"333","1641","57.0","2","5"
"334","1642","64.0","2","5"
"111","1643","7.0","24","5"
"332","1644","76.0","3","5"
"111","1645","4.0","22","5"
"311","1646","96.0","6","5"
"342","1647","111.0","1","5"
"232","1648","35.0","3","5"
"144","1649","1.0","1","5"
"434","1650","281.0","2","5"
"111","1651","3.0","10","5"
"412","1652","180.0","13","5"
"444","1653","372.0","1","5"
"122","1654","13.0","4","5"
"144","1655","3.0","1","5"
"144","1656","17.0","1","5"
"244","1657","41.0","1","5"
"122","1658","6.0","5","5"
"422","1659","169.0","5","5"
"244","1660","50.0","1","5"
"434","1661","227.0","3","5"
"212","1662","19.0","10","5"
"444","1663","372.0","1","5"
"122","1664","15.0","4","5"
"233","1665","35.0","3","5"
"233","1666","22.0","3","5"
"133","1667","7.0","2","5"
"211","1668","20.0","6","5"
"132","1669","11.0","2","5"
"244","1670","44.0","1","5"
"443","1671","306.0","1","5"
"144","1672","11.0","1","5"
"442","1673","275.0","1","5"
"111","1674","1.0","128","5"
"111","1675","16.0","17","5"
"121","1676","4.0","4","5"
"323","1677","72.0","4","5"
"433","1678","243.0","3","5"
"123","1679","9.0","4","5"
"433","1680","239.0","2","5"
"433","1681","204.0","3","5"
"111","1682","1.0","6","5"
